"start","end","text"
"340","18740"," Всем ещё раз здравствуйте, мы сегодня будем говорить на очень интересную тему, которая касается упаковки, визуала, про визуал тоже много важных и интересных вещей, про воронки, про старителлинги, и построим наш урок таким образом, что в самом начале будет такая интеркредиционная, теоретическая"
"18740","39500"," часть, но в моменте буду останавливаться, чтобы, если что, зафиксировать все мысли, и пока всё понятно до конца не будет, дальше двигаться тоже не будем. Чат в этот момент будет открыт работать, так что пишите, если что, всё ли ясно. И в конце мы разберём ваши вопросы, которые могли появиться"
"39500","57340"," в момент, пока мы всё это слушали, рассказывали, обсуждали и так далее. Так что, если будут появляться в процессе вопросы, вы можете их сразу для себя записывать куда-нибудь, фиксировать, и в конце просто мы уже перейдём к нашей части и будем уже полноценно обсуждать эти вопросы. Вот, для начала"
"57340","79840"," предлагаю нам познакомиться. Меня зовут Диана, я ментор по блогу, фотограф и автор своего собственного блога. Благодаря визуалу и контенту, в том числе, я набрала более 20 тысяч подписчиков в Инстаграме. Моя работа сейчас — это стратегия налаживания стиля и визуальной части для своих клиентов. Я"
"79840","99960"," помогаю выходить из состояния хаоса к состоянию понимания того, что вообще нужно делать, что выкладывать, как вести свой блог, как я могу вывести это всё в стратегию какую-то. То есть, перейти из состояния хаоса к стратегии, где создание контента идёт в удовольствие, переносит аудиторию, охваты,"
"100340","120340"," продажи, если вам это нужно, и внимания от людей. Сразу прошу прощения, если вы будете слышать посторонний звук, я, к сожалению, здесь ничего сделать не могу. Это мои соседи проснулись абсолютно не вовремя. Так что погнали. Итак, мы начнём с упаковки. Это такая важная часть, которая первым делом"
"120340","139400"," попадается на глаза вашей аудитории, которая заходит в ваш блог. Из релсов, допустим, или из постов, как она вас нашла, это абсолютно неважно. То есть, момент перехода к вам в блог и понимание, хочу ли я остаться в этом блоге, интересен ли мне этот человек, кто вообще этот человек, что"
"139400","155520"," он из себя представляет, про что этот блог. Это как раз таки упаковка, и она помогает холодной аудитории, которая с вами ещё не знакома, решить, нужно ли я остаться в вашем блоге, почему, зачем мне нужно подписываться. И сформировать какое-то общее впечатление и общее доверие о вас с первых"
"155520","173540"," секунд, когда человек только попадает к вам в профиль. То есть, суть упаковки это донести, чем вы отличаетесь от других людей, рассказать, кто вы по факту, и сформировать общее доверие и вообще представление о том, чего в этом блоге можно ожидать. В упаковку входит несколько составляющих, и"
"173540","194960"," сегодня, и сейчас мы, собственно, будем по ним более подробно проходиться и обсуждать, какие детали важно наладить в упаковке, чтобы, собственно, это впечатление работало на вас. Первое – это у нас шапка. Шапка – это та самая первая часть, где написано ваше имя и всё описание под ним. То есть,"
"195040","214060"," шапка помогает сходу понять, про что ваш блог, для кого вы, о чём вы и так далее. Я рекомендую в шапку включать три ответа на ваши вопросы, для того чтобы, собственно, это понимание приходило к человеку, и чтобы, собственно, ваш блог был тоже понятен для людей. Это вопросы «Кто я "
"214060","233720","?», «Что я делаю?», то есть, ваша ниша, ваша деятельность, кто вы там – дизайнер, фотограф, эксперт и так далее. И чем я могу быть полезен или полезна для своей аудитории. Как это может быть? Допустим, представляемся, кто мы. Это, собственно, ментор по блогу, визуал, учитель по английскому, видео"
"233720","249980"," или обучение, фотограф и так далее. То есть, это жирная строка, которая, собственно, отвечает на вопрос «Кто я?». Вопросы «Чем вы занимаетесь?» и «Чем вы можете быть полезны?» – они довольно смежные, но в общей сути они помогают, во-первых, раскрыть, о чём ваш блог. Если это"
"249980","268920"," эксперт, то все эксперты разные сами по себе, потому что у каждого свой подход, у каждого свои ценности, и вы, собственно, можете это сразу в шапке отобразить. Допустим, соединяя смысл, красивую картинку и деньги. То есть, менторы могут быть разные. Кто-то идёт на то, чтобы, наоборот, увеличить там"
"268920","285620"," приход подписчиков, кто-то за то, чтобы заработок увеличить и так далее. Короче, разные разновидности, но в шапке мы можем как раз-таки отобразить свою собственную ценность и свою нишу. Чем вы можете быть полезны, допустим, как репетиторам зарабатывать больше? Это может быть прописано в шапке. Или"
