"start","end","text"
"1100","26840"," Друзья, добрый день. Меня зовут Владимир Хмыров. Я психолог-консультант и ваш наставник и помощник в этом курсе. И сегодня я хотел бы с вами поговорить о, пожалуй, самой важной, наверное, такой части обучения, которая называется личная ответственность в обучении. О чем мы сегодня поговорим? О том,"
"27120","53660"," что важно будет именно вам. На данный момент лично у меня за последние 8 месяцев ведения блога на момент записи этого видео 186 тысяч подписчиков в Инстаграме и где-то порядка 26 тысяч подписчиков в Телеграме. И блог на постоянной основе приносит мне деньги в разных количествах, в среднем от"
"53660","74800"," 250 тысяч рублей в месяц. Но на самом деле он может приносить и больше. Но сегодня речь пойдет не обо мне, сегодня речь пойдет о вас и о вашей личной ответственности в обучении и в продвижении. О чем вообще хотелось бы поговорить? Основная мысль, наверное, этого всего видео заключается в"
"74800","99260"," том, что тебе никто никогда не продает результат и никто никогда не сделает результат за тебя. Тебе дают инструменты, которые ты можешь внедрить, использовать, каким-то образом вырасти после этого и двигаться дальше. Именно об этом мы сегодня и поговорим. Тебе не продают результат, тебе дают"
"99260","124320"," инструмент. И твоя личная ответственность заключается в том, чтобы эти самые инструменты использовать. На курсе ты не заказчик и важно это понимать. Мы не оказываем тебе услугу. Мы не занимаемся тем, что строим тебе твой контент-завод под ключ. Мы не бегаем с тобой как с маленьким ребенком. Ты"
"124320","147460"," ученик и ты создатель результата. Ты приходишь для того, чтобы перенять знания, для того, чтобы получить определенные инструменты, для того, чтобы в процессе где-то обжечься, где-то сделать неправильно, где-то сделать неверно, где-то чуть-чуть стрессануть. И после этого понять, как делать правильно"
"147460","176080"," и сделать свой собственный результат. Но самое важное, что под лежачий аккаунт подписчики не текут. И это нужно понять. Давайте начнем с самого важного, наверное. Ошибки, которые ломают обучение. Почему-то какое-то количество учеников считает, что я куплю курс и со мной"
"176080","198740"," сделают все. То есть рядом со мной вот здесь встанет наставник и скажет мне, давай, нажми вот сюда, сделай вот это, вот сейчас вот это сделай, а давай вот это я вообще за тебя, может быть, сделаю. Но это позиция клиента. Мы не продаем услугу, мы продаем тебе обучение. Получи"
"198740","229380"," определенные инструменты, внедри их сам, додумайся, где в твоем случае и как эти инструменты можно внедрять и после этого уже сделай свой собственный результат. И что самое важное, результаты приходят тем, кто действует, тем, кто делает какие-то ошибки, тем, кто экспериментирует, тем,"
"229640","259260"," кто пытается, тем, у кого не получается в процессе и это нормально. Я был учеником самого первого потока по обучению в феномене. И в моем первом потоке была женщина, наверное, у которой на протяжении всего потока, это было три месяца, мы проходили, все учились, у нас у всех были"
"259260","289500"," результаты, у нее результатов не было. Она на протяжении трех месяцев получала примерно ноль подписчиков. И это очень важно. И что самое важное, что она не сдалась. И на четвертом месяце она получила свою первую 10 тысяч подписчиков. И это невероятный рост, ее заметил Дмитрий Кот, создатель"
"289500","315840"," книги «Пиши, сокращай», может быть вы читали это, и даже написал какую-то разгромную статью по поводу нее, но это не имеет значения. Он выдал ей, грубо говоря, какой-то респект и он заметил ее. И даже создал ей дополнительное количество подписчиков в Инстаграме, потому что его внимание тоже было"
"315840","343740"," не лишним и важным. И давайте еще возьмем один принцип. Дело в том, что если вы решили для себя стать блогером, то важно понимать, что вы встаете на путь предпринимателя. И любой блогер – это предприниматель. Вам никто не скажет, что делать. Вам никто не скажет, как"
"343740","367480"," делать каждый ваш шаг. У вас есть общие принципы, конечно же, вам говорят, как делать вот это, как делать вот это, но что делать решаете только вы. И предпринимательская деятельность, что очень важно, это деятельность которая заключается в активности которая исходит от меня не в том что мне сейчас"
"367480","389540"," расскажут и скажут вот сегодня у тебя план такой ты делаешь раз два три четыре пять нет такого нет мы выдали тебе инструменты и только ты можешь сегодня выложить свои рилсы или не а потом спросить в группе а как вы думаете чего мне не так или не спросить а"
"389540","411040"," после этого отправить в группу какой-то рилс который у тебя начал залетать или не отправить да есть внутренняя зона ответственности и это зона ответственности заключается в вас находится у вас только вы ответственны за ваш результат да только вы можете пробовать что-то делать вы можете что-то"
"411040","434680"," запускать какие то новые темы тестировать и вы можете анализировать после этого посмотреть а что у меня за неделю залетело а что не залетело и после этого сделать какие-то выводы и сделать следующую попытку а потом сделать следующую попытку здесь нет такого что вы за неделю за месяц за"
"434680","458540"," 2 получите тот же результат который вы видите у ваших наставников Тот же результат, который вы увидите у людей, которые вокруг вас находятся, или тот результат, который вы видите, который показывают какие-то ребята, которые уже работают в этом год. Нет, такого не будет. Важно понимать, что вы"
"458540","480860"," работаете здесь не для результата, а вы работаете здесь для процесса. Важно для себя определить, что этот курс создан для того, чтобы вы в свою жизнь внедрили какой-то новый процесс на ежедневной основе. То есть, на ежедневной основе вы будете искать какие-то новые идеи, тестировать эти новые идеи,"
"481000","500520"," выкладывать их в свой аккаунт, смотреть, залетели или не залетели. Смотреть, а вообще ваш аккаунт нормальный или ненормальный, или можете его оставить, стоит ли купить новый аккаунт и забить на этот. И снова делайте по кругу это. И рано или поздно, если вы будете придерживаться этого принципа, то"
"500520","526620"," вы получите ровно такой же результат, как у меня, или как у более крутых ребят, у которых более высокий результат. Но результат точно будет. И давайте подумаем о том, а какие типы учеников в курсах бывают. Самый важный и самый, наверное, основной тип учеников это делатели. Это вот я. Это"
"526620","547960"," вот прям вот я в моем первом потоке, когда я этому обучался, я вообще не приходил на какие-то общие созвоны, я вообще никому ничего не задавал, никаких вопросов. Я просто выкладывал каждый день релсы, смотрел, какие залетают, какие не залетают. Исходя из того, что я выложил, я делал какие "
"547960","564000","-то для себя отметки. А, вот здесь я неправильную музыку, наверное, подобрал. А, вот эта вот тема, наверное, была не очень какая-то там такая непонятная. А, вот здесь вот слишком много слов в заголовке, вот здесь заголовок я неправильно разместил. Исходя из этого, я делал какие-то выводы и"
"564000","587240"," шел дальше. И каждый день я менял что-то, менял что-то, менял что-то, пока не понял, а как же делать вот этот вот хороший результат. От чего он зависит, какие принципы, да, для меня лично. Это первый тип учеников. Второй тип учеников это коммуникаторы. Это прекрасный тип учеников. "
"587240","608680"," Я один из них. Мне приятно пообщаться в чате. Это люди, которые знакомят, знакомятся, да, ищут связь какую-то, поддержку. Они общаются как-то вот внутри чата. Им важно с кем-нибудь поболтать, перенять от кого-то опыт. И, может быть, в процессе они могут забывать про свой результат, забывать"
"608680","628120"," про свои действия. У них есть чат, там возникают периодически какие-то сообщения. И им это как будто бы комфортно, приятно вот пообщаться, посидеть, попереписываться, получить какое-то внимание, да, и кому-то это самое внимание дать. Но это как будто бы не всегда про результат. Это важно понимать."
"629080","651400"," Третий тип это исследователи, да. Это те ребята, которые пришли сюда для того, чтобы получить еще больше информации. Они слушают, они копят вот эту вот самую информацию, они копят эти самые знания. Но они при всем при этом мало внедряют. Они пришли за информациями и за осведомленностью. Если ты"
"651400","675220"," пришел за осведомленностью, тогда не нужно пенять на то, что у тебя нет результата, да. Есть четвертый тип учеников, это жертвы. Это люди, которые пришли доказать себе и всему миру о том, что их случай это уникальный. И что им сложнее всех в этой жизни. И что именно у них"
"675220","695740"," внутри этого курса не получится. И они будут скидывать ответственность себя за все. Да, я посмотрел, а сам не посмотрел. Да, я изучил, а сам не изучил. Но у меня не получается, у меня не получается. Они будут все время кричать в чате так или иначе. И это люди, которые"
"695740","715620"," демотивируют других, стараются демотивировать других. Расшатать немножечко пространственное вот это вот обучение, пространство этого обучения. Но важно понимать, что если ты пришел за вниманием, которое тебе уделят люди, когда ты будешь кричать, что у тебя не получается. То вместе со всем с этим"
"715620","745000"," бонусом ты получишь то, что у тебя результата не будет. Давайте следующий тип мужчиника это ворчуны. Это люди недовольные всем. Программа как-то не так составлена. Ну мне некомфортно. Не те слова подобраны, не в том порядке и так далее. Задания непонятные. Да еще и погода какая-то дурацкая. Да"
"745000","763800"," еще в стране как-то вот все плохо. Да и вообще инстаграм скоро закроют. И все вот эти социальные сети скоро закроют. И вообще о чем мы здесь вообще собрались. Но если вы пришли сюда для того, чтобы поворчать. Ну пожалуйста ворчите. Но важно понимать, что вместе с этим ворчанием"
"763800","788260"," придет и то, что у вас результата не будет. Следующий тип учеников это фанаты. Это те, которые любят автора. Они такие вот, да, очень нам нравится. Молодец, супер, классно. Все нравится, огонь. Я даже не буду, наверное, курс проходить особо. Я даже не буду особо там смотреть. Может что-то"
"788260","808960"," посмотрю. Чуть-чуть вот эти вот видео ваши. Но в целом мне очень нравится, очень нравится. Но при всем при этом они почему-то не двигаются дальше по курсу. Подумайте, может быть это вы. Следующий тип ученика это критики. Это люди, которые придираются и ищут повод не делать. Но я"
"808960","832920"," не сделал, потому что. Да и потому что вот там что-то в презентации было непонятно. В уроке что-то было непонятно, да. Потому что вот, да что-то интернет был плохой. Да что-то еще вот мне вот не помогло, да, скажем так. И есть всегда в любом курсе"
"832920","853960"," есть что раскритиковать. В любом курсе есть что дополнить. Но в любом курсе 90% есть того что взять. 10% того что раскритиковать. Только вы выбираете на какой вы стороне вы будете критиковать. Или вы будете брать из этого курса что-то. И есть люди прокрастинаторы. О, что-то"
"853960","872440"," сегодня я не в настроении. Что-то сегодня я, да и работы что-то так много. Да и вообще я работаю на работе на основной. И не успеваю, не успеваю я этот курс смотреть постоянно. Не успеваю я этот курс постоянно делать. Это там что-то надо вот это вот"
"872440","892520"," разбираться. Да у меня времени нет. Еще жена мне постоянно звонит. Пишет, что работать надо. Еще дети. Еще машина вдруг сломалась. Ой, Господи, Боже мой. И, ну, что-то по курсу не удалось, не получилось, да. Но важно понимать, что если вы находитесь внутри этого типа ученика, то и результат"
"892520","919140"," у вас будет такой же, да. Зачем вы тогда пришли на курс. И важно понять, собственно, в какой роли вы чаще всего находитесь. Вот лично ты в какой роли чаще всего находишься. Попробуй чуть-чуть посмотреть на свою жизнь со стороны. Попробуй то, как ты переписываешься с людьми, может быть,"
"919160","938820"," руководителями твоей работы. Если ты работаешь со своими друзьями и так далее. Посмотреть на это со стороны и подумать о том, а я кто вообще в этой системе, в этой жизни. Я жертва? Либо я прокрастинатор, да. Либо я кто? Либо я деятель, может быть, да. Я вообще не встреваю"
"938820","961660"," в эти диалоги. Я просто иду и постоянно делаю имени. Неважно, что там люди говорят. Неважно, что там, где какие проблемы. Я сам разберусь в процессе и подумаю о том, как твоя роль, которую ты занимаешь внутри обучения, влияет на твой результат. И это позиция личной ответственности. Что важно?"
"962380","986620"," Внутри личной ответственности есть еще такая штука, как последствия. С любой ответственностью приходят последствия. Тебе нужно вкладывать определенное время в обучение, в действия по курсу, в работу с Инстаграмом. Даже в покупку каких-то аккаунтов, может быть, еще чего-то. В постинг, в работу с"
