"start","end","text"
"140","18080"," Всем привет! В этом уроке я расскажу, как оплачивать чат gpt из России, потому что чат gpt у нас под санкциями. Просто так его не оплатить, если вам необходима подписка плюс за 20 долларов. Я вообще всем ее рекомендую, потому что с помощью нее вы сможете в чат gpt загружать"
"18080","36820"," файлы. У вас неограниченное количество запросов и более прошаренные версии самого чата gpt, где он более профессионально отвечает на ваши вопросы и помогает вам в написании контента, текстов и так далее. Итак, нам понадобится с вами бот валют картс бот. Когда вы стартанете его, здесь будет вообще"
"36820","63110"," вот такое менюшечко кабинет. У вас откроется отдельно, знаете, как такое дополнительное меню, где вы можете зарегистрироваться, чтобы купить виртуальную карту. Начать нажимаем, вводим сюда свою электронную почту. Обязательно ставим условие согласия, можете почитать документы, продолжить. Здесь"
"63110","91130"," вводим код из письма, поэтому идем на почту. Итак, смотрите, во-первых, у вас здесь может быть уже пусто, и вы сразу будете видеть карточки, которые возможно купить. Так как я уже покупала здесь карточку, которую пополняю, чтобы оплачивать чат gpt, я нажимаю на кнопку выпустить. Но, я думаю, вы"
"91130","112470"," не потеряетесь в этом функционале, поотыкаетесь. Плюс здесь, если что, тоже есть дополнительное меню. Вот как раз карты, да, случайно вышла. Значит, смотрите, какая здесь история. Когда вы идете в выпуск карты, здесь есть выпуск карт. Даже давайте побольше окошко нам сделаю. Например, для покупок и"
"112470","131290"," подписок. Это то, что вам подойдет для чата gpt. Но, если вы, например, хотите еще за рубежом оплачивать с помощью apple pay, вы можете даже здесь выпустить карту. Здесь вот есть гонконгская карточка, с помощью которой вы можете ее привязать к тому же телефону, чтобы по apple pay выходила эта"
"131290","150590"," карточка, и вы с помощью нее сканировали и оплачивали покупки за рубежом. Кого-то это очень выручает, чтобы не делать карточку себе зарубежную за 20 тысяч плюс рублей. Сейчас такие делают в Кыргызстане, раньше в Казахстане можно было сделать. То есть, в этом случае электронная карта, которую вы"
"150590","166770"," можете подвязать. Если вам это необходимо, тоже используйте этот сервис. Обалденная штучка. Но для подписки мне, например, не подошла эта карточка. Поэтому для покупок и подписок конкретно, если вам нужно оплатить чат gpt или еще какой-то, может быть, еще какой-то зарубежный сервис, зарубежную"
"166770","187710"," нейросеть, которая по санкциям и так далее. Вы берете себе зарубежную карточку, просто обычную первую попавшуюся, берете, выбираете и создаете ее. Я сейчас создавать не буду. Но вам эту карточку нужно будет дальше пополнить, чтобы с нее оплатить тот же самый, например, чат gpt. Поэтому, когда вы"
"187710","205990"," здесь выберете карту, она у вас здесь будет висеть на одобрении созданий, потом она будет уже висеть как действующая. Сейчас вот к моим картам, активная карточка, будет статус активно, ей можно будет пользоваться. Чтобы пополнить баланс карты, нам нужно сначала пополнить баланс самого кабинета, вот"
"205990","226870"," здесь валют.net, пополнить нажимаем. И здесь есть несколько способов оплаты. USDT это криптовалюта. Это с помощью той же биржи или кошелька в крипте. USDT это у нас такой криптовалютовый доллар. По сети TRS-20, кто знаком с биржами криптовалюты и так далее, можно оплачивать. Я, например, пробовала"
"226870","240910"," через биржу оплачивать, очень-очень удобно. Здесь выдается кошелек. Единственное, что мне не сразу пришло, мне там писал, что в течение 15 минут обработается платеж, но пришел он чуть попозже. Я написала в техподдержку, они все посмотрели, все быстро появилось. Поэтому, если что, здесь есть"
"240910","262350"," поддержка, которая быстро отвечает, вымогает, подсказывает. То есть, транзакцию я чуть-чуть подождала. Есть в рублях, переводом, но комиссия 14% у вас будет. В принципе, недорогое. Получается, 20 долларов стоит у нас ChatGPT. Примерно, я не знаю, сколько сейчас доллар стоит. Давайте посчитаем в"
"262350","283910"," разрезе 90 рублей. Доллар это 1800 рублей плюс 14%. Получится у вас 2050 рублей. Грубо говоря, 2052 рубля. Может, 2100. Это небольшая переплата. Я вам сейчас еще про другие сервисы расскажу. Там чуть побольше может быть переплата. Еще здесь есть с другими криптовалютами. Я по сети TRS20 делала. "
"284030","299590"," Плюс там где-то комиссия. Доллар, наверное, была. Выбираем способ, пополняем. У вас пополнится здесь баланс кошелька. Когда он пополнится, и у вас уже будет готовая здесь карточка, она будет с балансом 0. Вот у меня сейчас 6 баксов на ней все равно лежит. Вот наша карточка. Мы нажимаем на"
"299590","322070"," пополнение. И сумму пополнения с нашего баланса кошелька. Имейте в виду, если вы захотите себе сделать карту Apple Pay, давайте я сейчас нажму на выпустить, здесь выпуск карты будет еще дополнительно стоить 1 доллар. То есть на кошелек чуть побольше положить, если вам нужна такая карточка, чтобы за"
"322070","344010"," рубежом оплачивать удобно электронно. Имейте в виду, чтобы ее пополнять, соответственно комиссия будет. Рублями пополняете, и у вас здесь все находится. Значит, смотрите. А так бесплатные вот эти карточки выпускаются, которые нужны для оплаты нейросетей. Нам нужно это только для чата gpt. Возможно,"
"344170","360610"," в будущем вам еще что-то пригодится. Поэтому вот здесь вот все пополняем. И дальше мы пойдем с вами в чат gpt для оплаты. И здесь у нас с вами есть посмотреть планы. И вот здесь будет ваш текущий план. Вы выбираете, вот у вас бесплатный скорее все стоит. Вы"
"360610","378150"," выбираете подписку плюс 20 долларов США. Дальше я вам покажу, что нужно вносить в поля для оплаты. Под озвучку, потому что я это записывала отдельно, потому что сейчас я не смогу вот это вот показать вам. Поэтому отдельно смотрим видео без моего кружочка. Для того, чтобы нам оплатить, мы вводим"
"378150","396350"," данные нашей карты. В имя владельца просто luckycard у вас будет там название. Выбираем сейчас обязательно по инструкции. Как я вам скажу, потому что я писала в техподдержку, они подсказали, чтобы чат gpt стоил именно 20 долларов. Нужно написать так, как они подсказали. То есть вот прям вот этот"
"396350","423210"," адрес ангола. Вот именно его мы прям прописываем. Нажимаем на галочку. Нажимаем дальше на зеленую кнопку подписаться. И дальше у нас сейчас выйдет проверка я не робот. То есть это проверка я человек точнее. Все ждем. Немножко загрузка. И у нас оплачен чат gpt на месяц 20 долларов. Также есть"
"423210","445350"," еще отдельный вот. Называется он frame you. Вы можете здесь тоже оплачивать сервисы. То есть вы, когда его стартанете в меню. Вот допустим там я сейчас зажму старт запуска бота. Выбрать сервис для оплаты. И здесь мы ищем сервис, который нам необходим. Здесь можно тот же самый Zoom, например,"
"445450","465930"," оплатить. Но выходит, конечно, не так уж дешево. У меня, например, Zoom не такой дорогой. Вот есть чат gpt. И здесь он пишет сразу цену. На один месяц будет 2750 рублей. Достаточно большая такая переплата. Есть еще отдельный контакт. Вы пишите ему просто в личку. Там комиссия, ну где-то"
"465930","486150"," тоже что-то типа 10%. Вот у ученицы вышло 2450 рублей с комиссии. Поэтому выгоднее, конечно, через тот сервис, который я вам показала. Где делается карточка. На нее мы пополняем денежку. И после этого оплачиваем чат gpt. Но можете и через эти сервисы, если вам впадло заниматься созданием"
"486150","492430"," электронной карточки зарубежной. В целом это то, как мы можем оплачивать чат gpt из России. "
