"start","end","text"
"440","23940"," Сейчас мы будем учиться покупать инста-аккаунты, сейчас мы находимся на darkshopping, здесь прогретые хорошие аккаунты продаются, как раз мы на странице прогретых аккаунтов. Для начала давайте зарегистрируемся в сервисе, нажимаем на кнопку войти, создать аккаунт нам нужно. Придумываем логин, вводим"
"23940","56420"," email, пароль я какой-нибудь сейчас придумаю, создать свой пароль. Телеграмм. Я вот не знаю, они телеграмм имеют ввиду, наверное, номер телефона, хотя ладно, пусть, наверное, никнейм. Разберемся сейчас походу. Так,"
"56480","76780"," все прошло, значит никнейм. Окей, если что можно, в принципе, можно не сохранить, можно сохранять свои логины пароля в google. Я рекомендую, опять же, перейти по ссылочке с нашими аккаунтами прогретыми. Что мы здесь видим? Все, мы залогинились, мы зашли в наш аккаунт, тоже можно, если что, добавить"
"76780","95980"," вот так вот страничку к себе в браузер. Можно, на самом деле, если вам удобно, в браузере там, например, добавить какую-нибудь папочку и в эту папку переносить все ваши там закладочки необходимые для работы. Ну, опять же, вы можете здесь все это выносить и папки какие-то удалять. Это,"
"96140","114900"," опять же, вам просто для удобства работы. Показываю просто с компьютера. Закладки на телефоне можно делать, кто не знал. Так, здесь у нас также есть фильтры. Открываем фильтры и выбираем инстум. В принципе, здесь тоже можно, как бы, выбирать еще дополнительные фильтры, но я хочу чисто вам показать,"
"114980","134560"," что сейчас есть 4 товара. И вот у нас как раз есть те аккаунты, которые стоят подороже, они покачественнее. Вот мне интересен вот этот бестселлер инстааккаунт пустой, прогретый, крепкий, 23 год. Почта first mail, как раз телефон подтвержден, номер отвязан. Но, если вдруг будет он подвязан, его"
"134560","153040"," можно будет отвязать, потому что я смотрю, тут есть один отзыв у этого продавца, что все ок, но номер был не отвязан, типа сбросил сам. И читаем, что входит сюда. Год создания, 23, почта, first mail, то, что нам необходимо, да. Подтвержден через телефон, номер отвязан, регистрация была через"
"153040","179260"," android. Прогретый аккаунт, смотрел релсы, ставил лайки, сохранил вызбранные. Так, отключена вот эта всякая штука с накруткой. Все ок. Так, что у нас еще здесь есть? Пустой аккаунт от Лешка. Рассылка, постинг, все сюда подойдет. Дальше, автоматическая выдача аккаунта. Формат логин, пароль, почта,"
"179340","203540"," пароль. На почту входить через first mail, через вот этот сайт обязательно. Так, дальше давайте еще посмотрим, что у нас есть. Есть инста аккаунты 25 года, соответственно, они дешевле, да, стоят менее отлеженные. Так, прогретый, очень крепкий 25, тоже first mail, вот сразу тоже написано, где вот"
"203540","226340"," этот first mail нам подходит. Есть, я посмотрю на те, которые подороже. 23 года, тоже телефон подтвержден, номер 40 штук тут в комплекте. Давайте тоже посмотрим, почитаем. Значит, здесь у нас, что? Примеры аккаунта. Стойкий и пустой аккаунт, не умирает в отлежке, год создания 23, почта как раз"
"226340","248100"," first mail, смс подтвержден через телефон, номер отвязан, регистрировался через android, прогретый. Ну, по-моему, это тот же самый продавец, в принципе. Вот, и тут есть также еще аккаунт живой, человек пишет. Так, здесь мы можем с вами купить аккаунты. Давайте сейчас к этому приступим. Плюс еще мы"
"248100","267280"," здесь можем увидеть фильтры, что да, это у нас автореги. Тут тоже, кстати, есть фильтры, да, по которым мы можем походить, посмотреть, какие есть аккаунты. Ну, вот как раз автореги и самореги для нас подходят. Нам не нужны бруты. Бруты это аккаунты угнанные и, соответственно, к ним может"
"267800","285900"," пользователь вернуть доступ, и мы просто потеряем аккаунт. Поэтому самореги это, когда самостоятельно вручную регистрировался инстам, подойдет. Автореги это, когда через автоматизированную программу, но тоже эти все аккаунты регистрируются, тоже подходит. Поэтому здесь как бы все хорошо. Смотрите,"
"286080","308060"," еще раз, значит, проходимся, как по инструкции, рекомендации по покупке аккаунтов. Ценовой диапазон 300-600 рублей. Вот как раз вот то, что 331, 414. Нас это интересует. Тут 5 звезд, 5 звезд. Да, мы видим еще какой-то там один отзыв. Тут есть какие-то гарантии, последние пополнения поставщика. "
"308420","330120"," Дальше, что нас интересует, конечно же, First Mail. Доступ к почте, может быть, и к мэйл. Добавленный номер телефона, он не обязательно, если добавлен, то он был, номер отвязан. Это мы посмотрели, что номер у нас здесь отвязан, мы здесь все это прочли. И, опять же, такие локации. Локация, видите,"
"330180","349900"," Mix написано, то есть лучше, конечно, европейская, можно РФ, можно СНГ, но, может быть, еще локация написана вот так вот, Mix. Давайте вот еще вот этот откроем. Тут, скорее всего, то же самое будет. Да, тоже Mix. Поэтому здесь вы можете вот это все посмотреть в этих аккаунтах. Как нам"
"349900","370880"," купить аккаунт? Мы находимся сейчас на страничке продавца. Мы либо можем заранее наш баланс вот здесь вот пополнить. Сейчас я зайду, покажу. Здесь как раз есть вот карта РФ. Так, тут вот, например, СБП. Можем пойти сюда на кнопку купить. Вот сюда вводим свою почту, количество аккаунтов. Выбираем"
