"start","end","text"
"650","19250"," Разберем текста для наших риелс, для нейрописаний, или что писать в них, чтобы люди проводили тысячи часов в одном ролике. А для этого мы поймем ключевые факторы, которые влияют на виральность роликов. Это буквально формула виральности, которая превратит тысячу просмотров в 100 тысяч миллионов и"
"19250","36530"," больше. До внедрения формулы виральности я не мог понять, почему я сижу на таких маленьких просмотрах. Но после я начал наслаждаться тем, что у меня минимум 10-15 миллиоников каждый месяц. Эта формула состоит из восьми ключевых факторов, которые пробивают алгоритмы и вцепляют внимание людей. Именно"
"36530","56730"," они влияют на глубину просмотра и делают из этого вот это. Итак, самое важное. Хук, то есть крючок, зацепка в ролике. Дальше, содержание ролика и призыв к действию. Надеюсь, вы меня достаточно хорошо знаете, чтобы в это не поверить. Забудьте все, чему вас учили гуру раньше, которые выросли либо"
"56730","74450"," давно, либо растут на дорогих и сложных форматах. Сейчас будет бомбандировка базой на миллионы долларов. И кто услышит и внедрит, никогда больше не будет продолжать жить в неизвестности. Для этого мы разберем формулу виральности, внедрим три уровня вовлечения аудитории и забустим глубину просмотра"
"74450","92290"," наших роликов. Первый элемент нашей формулы – это контроверсивность. Насколько наша идея выделяется из общепринятых, стандартных смыслов, как принято говорить или думать о чем-то. Далее, провокативность. Это уже о подаче. Насколько она смелая, броская, резкая, прямая, без сглаживания углов, как"
"92290","110910"," любят делать особенно профессиональные психологи и коучи, которые не могут навязывать свои мысли. Далее, любопытство. Здесь мы должны показывать контекст, что будет конкретно у нас в описании, но при этом не раскрывать ключевую мысль заголовком, иначе у человека не будет дофамин открыть и"
"110910","129050"," прочитать, а он должен быть. Далее, полярность. Мы должны делить аудиторию на два враждующих по ценностям лагеря, чтобы они спорили друг с другом, отстаивая свою картину мира, и бустили нам вовлеченность и глубину просмотра. Далее, емкость, или наполненность мыслами, наполненность инсайтами. Чем"
"129050","148910"," больше их на единицу текста, тем лучше, потому что человек будет его дольше читать. Если текст водяной, он за 2 секунды его проскролит и перелеснет ролик дальше. Далее, пейнтфул. Ролик должен исходить из болей и риска, которые человек может избежать, если послушает, что мы написали, и внедрит это,"
"149410","166550"," а не из тех выгод, которые может приобрести. То есть, если мы, например, фитнес-тренер, мы не говорим, ешь брокколи и стан здоровым. Мы скажем, если ты будешь продолжать есть этот ингредиент, то ты умрешь бедным и жирным. Далее, общий враг. Мы должны не обвинять человека, говорить, что это из "
"166550","186070","-за тебя. Вот это и так знают, и это правда. Мы должны человеку показывать общую перспективу, что мы союзник, и по этой перспективе идем вместе, решая общую проблему, воюя против общего врага. И тогда человек чувствует, о, вот это друг в этом брутальном мире, и подписывается. Это очень сильно влияет"
"186070","206350"," на конверсию из просмотра подписки. Волшебная таблетка. Пункты должны создавать ощущение легкости от внедрения, как будто это кнопка бабло. Сделал мало, получил много. И быстро, мгновенно, без всяких издержек. Если мы даем абстрактный совет, типа, начни правильно питаться, это не ощущается, как"
"206350","225550"," кнопка бабло, потому что это тяжело. Наши тейки должны быть такие, которые будут ощущаться с легкостью при внедрении. И последнее. Это должно попадать во внутренний диалог человека, который уже происходит у него. Для этого мы должны понимать, как сейчас живет медиаполе, что есть у человека вообще в"
"225550","243930"," голове. Потому что если мы не попадаем во внутренний диалог человека, то мы попадем в баннерную слепоту. А если попадем, то у человека будет ощущение, вау, меня поняли. Я не мог это проговорить, как-то концептуализировать, осознать, но здесь это сделали за меня. Подписка. Дополнительные фишки по"
"243930","260589"," виральности. Во-первых, без очевидных и банальных вещей. Ешь меньше, гуляй больше. Это не должно быть очевидным и банальным, потому что не будет вызывать ощущение инсайта. Далее. Каждый абзац должен быть по уникальной форме. Нет одобразия подачи. Например, тезис, пример, вывод, тезис, пример,"
"260730","280750"," вывод. Взгляд человека сразу же это считывает, и человек гораздо быстрее понимает, что будет в следующем абзаце. Пропадает ощущение новизны, дофамин прекращает вырабатываться быстрее, и человек скипает ролик гораздо быстрее. Каждый абзац должен вовлекать какую-то новую эмоцию. В одном абзаце мы"
"280750","300190"," можем раскрывать, например, страх, в другом, например, чувство на эго давить человека и так далее. Чем больше разных эмоций, и чем ярче он чувствует, тем больше этот ролик повлияет на человека. Далее. Реальный обычный разговорный язык. Чат GPT иногда, особенно если вы не используете версию, которая"
"300190","319930"," у нас есть, может давать это роботизированно. Также иногда чат GPT может включать какой-то быдло режим и на него переключаться. Мы это, конечно, фиксим и смотрим, чтобы он говорил на обычном разговорном языке. Далее. Мы должны быть релевантны системе ценностей человека. Это должно захотеться"
