"start","end","text"
"540","19180"," Привет, друзья! Сейчас обсудим, как выйти в масштаб в медийке, а именно выйти на темп хотя бы 20-25 риллз каждый день, чтобы получать от 1000 подписчиков ежедневно. Это безумно важно, потому что у каждого моего ученика, у кого безумно быстрый темп роста, под 1000-1500 подписчиков в день, есть"
"19180","34220"," высокий темп постинга. То есть никто не вырос до сотки, постя по 2-3 риллза в день, так не работает. Если мы постим по одному риллзу в день, то у нас миллионинг будет раз в 1,5-2 месяца, как у всех. Потому что обычно где-то 40-50 ролик,"
"34260","51540"," когда алгоритмы уже разогнаны, становится миллионником. А именно миллионники приносят нам основной пласт аудитории, буквально тысячи леды в воронки и кучу подписчиков в телегу. Поэтому если мы постим хотя бы по 5 день, то миллионник уже может быть каждую неделю, при условии, что мы соблюдаем все"
"51540","68800"," предыдущие пункты. А что если будет 20 риллзов в день? По статистике у меня, у всех учеников и клиентов, у экспертов, партнеров и так далее, темп 20-25 риллзов в день дает 2-3 миллионника каждую неделю. И именно так в декабре 2024 года я начал получать по 15 риллзов"
"68800","85080"," миллионников каждый месяц. И в общем у меня сейчас темп роста все эти места был примерно 30 тысяч человек ежемесячно. Это как раз от 8 до 15 миллионников каждый месяц, и они привозят за собой основную пласт аудиторию. Кто-то может быть еще думает, хотя я надеюсь, что это навряд"
"85080","105300"," ли. Зачем мне GPT? Я хочу быть уникальным и неповторимым. Хорошо быть уникальным и неповторимым с 1000 просмотров и 50 подписчиками. Для квантового роста нам нужна автоматизация процесса, иначе ты быстро выгоришь и не дойдешь даже до первого миллионника. Аудитории не важно, кто написал идею, кто"
"105300","125300"," выразил ее в контент, ты или нейросеть. Но подписчики не переживают об этом. Людям важна сама идея, к которой ты являешься проводником. И то, что ты вовремя сконнектил эту идею с человеком через алгоритмы, которые понимают, в каком сценарии сейчас проживает человек. И по сути помог ему пройти какую "
"125300","142080","-то мини-трансформацию. Сейчас конкретно разберем мой процесс работы с нашей GPT, что я пишу, чтобы он давал тексты для роликов, которые всегда залетают в рекомендации. Сначала мы просто переходим по ссылочке на эту GPT, вкладываем подписку, входим в наш аккаунт. Нам важно убедиться, что у нас"
"142080","164520"," просто оплачена подписка к GPT, потому что нам важно, чтобы здесь была версия 4.0. И начинаем газовать. Первое, что мы делаем, мы просто даем тему ролика, ту идею, которую мы хотим раскрыть. Например, здесь напишем 5 red-флагов в мужчинах. Можно писать с ошибками, он все понимает, другие указания"
"164520","184940"," не нужны. Мы просто указываем, и он сразу же дает заголовок и текст. По большому счету, это все. И нам больше сейчас ничего не нужно. Мы уже можем это копировать и вставлять. Но это можно улучшить. Первое, что хочу сказать, я рекомендую использовать GPT обязательно до 10.30 утра по"
"184940","205240"," Москве. Вот идеально где-то с 8 до 10. В это время он дает больше всего деталей, какой-то конкретики, примеров. Он менее использует какие-то абстракции, лозунги, вводные обороты. Гораздо лучше держит внимание и память. Нам это критически важно, чтобы не переделывать за него работу. Представим, что"
"205240","223460"," он дал текст, он нам вообще не понравился. Первый промпт, которым мы можем его скинуть, это промпт для самоанализа. Он также будет ниже. Через горячую клавишу его вставляю и направляю ему вот этот наш промпт. Здесь у нас 29 пунктов, по которым нужно, чтобы он сам проанализировал свой ответ, который"
