"start","end","text"
"900","17720"," Этот урок мы с вами посвятим тому, что такое цели-полагание. Дело в том, что очень часто люди представляют себе, что цели-полагание — это значит, я ставлю цель, и я просто к ней иду шаг за шагом. Но на самом деле в жизни очень редко бывает, когда к цели"
"17720","38400"," мы идём прям по тректории взлёта, знаете, как взлётная площадка самолёта. На самом деле к цели мы идём по-разному, и нам нужно понимать, что цели-полагание — это система. Что такое система? Это значит, что в этой системе у вас будет 3 важных элемента, и ни один из них"
"38400","57520"," нельзя будет вычеркнуть из этой системы. Первое — это сама цель. Второе — это те действия, которые вас приведут к нужному результату. И третье — это, естественно, тот результат, который вы хотите получить. Когда мы занимаемся системой цели-полагания, мы должны понимать, что каждый элемент, по сути,"
"58020","79160"," наполнен чем? То есть у него что-то внутри такое есть, что мы должны понимать и осознавать. Например, компонент «цель» разделяется на два подкомпонента. Есть определённый образ жизни и есть определённое «я», то есть образ «я», образ «человек». И с точки зрения психологии мы должны понимать, что"
"79160","99900"," цель, которую мы себе запланировали, может быть вообще иногда не наша. То есть мы её просто услышали, но нам кажется, что мы обязательно должны достигнуть именно того результата, который себе запланировали, не осознавая, а из каких двух элементов эта цель состоит. Итак, когда мы говорим про образ"
"99900","119580"," «я» и образ жизни, что это такое? Это значит, что есть определённый образ «я». Образ «я» — это как я себя понимаю, как каждый из вас себя представляет и понимает. То есть какой я, какие у меня есть качества, какие качества я хочу усилить, какие качества я хочу ослабить, как"
"119580","137780"," я вообще функционирую, то есть какие у меня есть способности, какие у меня есть характеристики. Каждое представление элемента «я» формируется на протяжении жизни. Например, когда вам было 4 года, у вас тоже было представление о себе. Когда вам было 14 лет, у вас тоже было представление о себе."
"137780","156320"," Когда 24 года, тоже есть некие представления о себе, вы себе представляете, какой я, но при этом они будут отличаться. Вот очень важно делать генеральную уборку. Почему? Потому что иногда есть какие-то навыки, есть какие-то качества, которые на самом деле нам могут быть уже не очень важны или"
"156320","174880"," нам не так нужны для функционирования, для осуществления своей рабочей профессиональной деятельности. И мы можем усиливать те качества, которые нам нужны в данный момент. Грубо говоря, на каждом этапе вашей жизни есть определенные качества, которые стоит усилить, а есть качества, которые просто"
"174880","190980"," можно нивелировать. Очень часто люди думают, что надо усилить те качества, которые у меня в минусе. То есть, например, когда чего-то не хватает, то я должна это качество прокачать, и тогда моя цель будет достигнута. На самом деле функционирует абсолютно не так. Мы должны усиливать те качества,"
"191040","210280"," которые у нас и так сильные. Мы должны их взращивать, потому что именно они дают нам конкурентную способность. Именно за счет сильных качеств мы становимся конкурентно способны. Мы можем побеждать в гонке, мы можем осуществлять какую-то деятельность, мы можем быть заметным для клиентов и так далее."
"210620","230360"," И получается вот какая особенность. Сильные качества мы должны усилить, слабые качества, которые у нас в минусе или которые у нас не самые важные, не самые активные, мы должны вывести в уровень нейтральности, то есть они не должны быть у нас сильными. Грубо говоря, если у вас какое-то качество"
"230360","249100"," отстаёт, вы не сможете сделать его суперсильным и конкурентно способным. Но вы сможете сделать так, чтобы оно вам не мешало, то есть оно вас не тормозило. Иногда говорит человек, у меня не хватает самодисциплины. Вот я не структурный, я не способный к тому, чтобы эту дисциплину внутри налаживать."
"249100","267100"," Окей, но тебе тогда нужно сделать так, чтобы уровень твоей самодисциплины, пусть он не будет сверхмощным, пусть он не будет спортивным от такого уровня, но он не должен тебе мешать. То есть если уровень твоей самодисциплины такой, что он тебе мешает, и ты не можешь организовать свой рабочий день,"
"267460","287740"," значит его повышай ровно настолько, чтобы он тебе не мешал. То есть какие-то процессы нужно будет усилить ровно настолько, чтобы вывести их в полосу нейтральности, чтобы они тебе не мешали. Второе правило для цели и полагания – это пересматривать свои собственные качества, которые вам нужны в"
"287740","304180"," данный момент. Потому что у нас, хоть нам и кажется, что жизнь – это бег на долгую дистанцию, на самом деле это несколько коротких каких-то периодов, и в каждом периоде есть определенная своя цель. И если вы пришли с целью, например, я хочу заработка, или я хочу проявляться, или"
"304180","320380"," я хочу социального какого-то статуса, соответственно, вам нужно поставить цель на этот период. Цели и полагания на всю жизнь вы не сделаете, потому что там более глубокая работа, там работа со смыслами, и в любом случае мы каждый раз, заходя в новый смысл, в новый период, мы должны их"
"320380","340200"," переформатировать, мы должны их изменять, мы должны с ними работать, мы должны на каждый период подбирать именно те смыслы и те цели, которые нам в данный период нужны. Поэтому наша задача – обязательно пересматривать. Например, в этот период своей жизни я хочу заняться вот этим. Я хочу заработка,"
"340340","356300"," или я хочу социального статуса, или я хочу социальной проявленности, или я хочу, чтобы меня узнавали на улицах. Я хочу определенного успеха. То как это будет выглядеть? То есть прям конкретно как это будет выглядеть? Какие качества мне нужны для того, чтобы люди эти качества увидели? Их я должен"
"356300","375200"," усилить, потому что ваши клиенты пойдут именно на эти качества. Теперь что происходит дальше? Есть вторая часть – это образ жизни. Часто люди путают и говорят, если я буду вот таким, и дальше они рисуют себе набор качеств, каким я буду? Я буду сильным, я буду харизматичным, я буду лидером. "
"375620","394620"," Они забывают, что на самом деле всё начинается с образа жизни. Поэтому правило номер три – ваша включенность в социальность, ваша проявленность социальная или ваш заработок будет зависеть не только от тех качеств, которые у вас есть, он будет зависеть от того образа жизни, который вы хотите вести."
"395160","416180"," И соответствует ли этот образ жизни тому, что сейчас у вас происходит, или нет? Давайте на примере. Вот, например, вам хочется жить на высоком этаже какой-то высотки классного бизнес-комплекса жилого, и вам там будет классно. Вы представляете, как каждое утро вы в туфлях выходите из своей парадной"
"416180","435440"," или своего подъезда и ждёте машину, например, или садитесь в свою машину и едете на работу. И нужно понимать, что ваш образ жизни сейчас и ваш образ жизни, в котором вы хотите оказаться, в любом случае это будут две разные точки. И одним прыжком вы этого не сделаете. Вам нужно"
"435440","454740"," разделить эти точки, этот отрезок, на более короткие промежуточки. Потому что может оказаться, что этот бизнес-комплекс, который строят, он находится в такой ещё глуши и дали от города, и город идёт в эту сторону, но он будет идти медленно, и какое-то время вы будете в туфлях по дороге"
"454740","473460"," месить грязь. Образ жизни – это то, как вы хотите жить, то есть что вас окружает, что вы едите, из чего вы едите, с кем вы общаетесь, что вы носите. И у вас будет всегда две точки. Прямо можете себе записать? Первый – это образ жизни, как у меня сейчас"
"473460","493960"," это строится, то есть что у меня происходит сейчас, какой у меня образ жизни. Например, я много времени трачу на пустую работу, я отвлекаюсь по мелочам, я хожу в удобных кедах, я не интересуюсь модой, например. И вторая точка – это будет то, как вы хотите, чтобы ваш образ жизни"
"493960","516179"," строился. И, соответственно, вы разбиваете для того, чтобы прийти к стильным туфлям, к машине, которая возле подъезда, к новой квартире. И у вас будет еще на шаг назад, потом еще на шаг назад. То есть вы проматываете эту пленку еще в обратную сторону. Есть точка А, есть точка В. Сначала"
"516179","534400"," вы смотрите, куда вы хотите прийти, а потом вы смотрите шаг назад, что было, шаг назад, что было, шаг назад, что было. И смотрите, а какой будет первый шаг, когда вы вообще в эту сторону шагнете. Наш мозг – это такая хорошая система, которая нам позволяет ходить по времени. Мы"
"534400","554060"," можем представлять, куда мы хотим прийти, мы можем представлять, в какую точку мы хотим прийти. Но для того, чтобы туда прийти, мы должны свою голову заставить разбить это на конкретные шаги, на конкретные этапы. Ваш образ жизни должен быть подобран первый шаг по тот образ жизни, в котором вы"
"554060","574160"," сейчас, но на один шажочек лучше, потом еще на один шажочек лучше, потом еще, и так вы придете к тому образу жизни, который вы хотите. Теперь правило номер 4. Всегда есть действия. Действия напрямую приводят к результату, поэтому действия и результат – это две неотделяющиеся друг от друга единицы."
"574680","595880"," Действия – это конкретные глаголы. Что я делаю, чтобы вот это было? Но чаще всего цель и полагание дают ошибку, где цели представлены отдельно, а действия как будто бы отдельно, то есть ваша задача – цели и действия соизмерять. Есть цели и есть действия. И действия мы иногда берем вообще"
"595880","615760"," из другой области, и нам очень сложно эти действия взять именно подобранными под эти цели. Например, хочу много зарабатывать, но поэтому я беру много мелкой работы, на которой платят какие-то символические деньги. И тогда, естественно, цель много зарабатывать вы просто не закроете, потому что"
"615760","636060"," действия подобраны по-другому, под другие цели. И результат будет не по тому, какие цели вы поставили, а результат будет по тому, какие вы действия под эти цели подобрали. И поэтому самое важное, если вы пришли к результату, который вас не устраивает, значит, нужно пересмотреть действия и их"
"636060","641340"," подобранность под эти цели, убрать лишние и добавить необходимые. "
